TIME,PROSTITUTION
jan 2003,4
feb 2003,8
mar 2003,4
apr 2003,7
may 2003,13
jun 2003,4
jul 2003,3
aug 2003,2
sep 2003,3
oct 2003,9
nov 2003,0
dec 2003,13
jan 2004,31
feb 2004,14
mar 2004,4
apr 2004,16
may 2004,7
jun 2004,7
jul 2004,14
aug 2004,26
sep 2004,27
oct 2004,10
nov 2004,4
dec 2004,3
jan 2005,5
feb 2005,7
mar 2005,8
apr 2005,11
may 2005,6
jun 2005,14
jul 2005,5
aug 2005,44
sep 2005,28
oct 2005,19
nov 2005,4
dec 2005,9
jan 2006,9
feb 2006,4
mar 2006,6
apr 2006,9
may 2006,9
jun 2006,6
jul 2006,5
aug 2006,38
sep 2006,23
oct 2006,17
nov 2006,20
dec 2006,21
jan 2007,8
feb 2007,13
mar 2007,27
apr 2007,49
may 2007,31
jun 2007,20
jul 2007,20
aug 2007,38
sep 2007,55
oct 2007,31
nov 2007,51
dec 2007,50
jan 2008,33
feb 2008,33
mar 2008,29
apr 2008,38
may 2008,17
jun 2008,15
jul 2008,36
aug 2008,24
sep 2008,19
oct 2008,33
nov 2008,16
dec 2008,12
jan 2009,3
feb 2009,11
mar 2009,4
apr 2009,12
may 2009,2
jun 2009,8
jul 2009,11
aug 2009,12
sep 2009,24
oct 2009,13
nov 2009,7
dec 2009,3
jan 2010,3
feb 2010,1
mar 2010,0
apr 2010,4
may 2010,2
jun 2010,3
jul 2010,1
aug 2010,21
sep 2010,8
oct 2010,2
nov 2010,0
dec 2010,2
jan 2011,1
feb 2011,1
mar 2011,2
apr 2011,5
may 2011,4
jun 2011,8
jul 2011,0
aug 2011,0
sep 2011,0
oct 2011,1
nov 2011,0
dec 2011,0
jan 2012,4
feb 2012,0
mar 2012,2
apr 2012,1
may 2012,0
jun 2012,0
jul 2012,0
aug 2012,6
sep 2012,0
oct 2012,2
nov 2012,1
dec 2012,0
jan 2013,0
feb 2013,1
mar 2013,5
apr 2013,4
may 2013,5
jun 2013,2
jul 2013,1
aug 2013,2
sep 2013,1
oct 2013,4
nov 2013,2
dec 2013,10
jan 2014,6
feb 2014,8
mar 2014,10
apr 2014,5
may 2014,4
jun 2014,56
jul 2014,9
aug 2014,2
sep 2014,4
oct 2014,13
nov 2014,40
dec 2014,9
jan 2015,0
feb 2015,5
mar 2015,13
apr 2015,0
may 2015,2
jun 2015,0
jul 2015,3
aug 2015,3
sep 2015,6
oct 2015,9
nov 2015,0
dec 2015,3
jan 2016,7
