TIME,PROSTITUTION
jan 2003,97
feb 2003,63
mar 2003,10
apr 2003,50
may 2003,71
jun 2003,67
jul 2003,40
aug 2003,50
sep 2003,86
oct 2003,86
nov 2003,51
dec 2003,42
jan 2004,45
feb 2004,20
mar 2004,32
apr 2004,43
may 2004,72
jun 2004,50
jul 2004,30
aug 2004,30
sep 2004,42
oct 2004,52
nov 2004,44
dec 2004,69
jan 2005,52
feb 2005,62
mar 2005,30
apr 2005,29
may 2005,23
jun 2005,17
jul 2005,25
aug 2005,19
sep 2005,35
oct 2005,14
nov 2005,29
dec 2005,11
jan 2006,14
feb 2006,54
mar 2006,60
apr 2006,52
may 2006,43
jun 2006,43
jul 2006,66
aug 2006,46
sep 2006,48
oct 2006,47
nov 2006,70
dec 2006,48
jan 2007,83
feb 2007,95
mar 2007,81
apr 2007,47
may 2007,51
jun 2007,59
jul 2007,80
aug 2007,42
sep 2007,56
oct 2007,55
nov 2007,41
dec 2007,50
jan 2008,59
feb 2008,33
mar 2008,23
apr 2008,43
may 2008,61
jun 2008,27
jul 2008,106
aug 2008,86
sep 2008,69
oct 2008,36
nov 2008,83
dec 2008,81
jan 2009,160
feb 2009,124
mar 2009,131
apr 2009,87
may 2009,73
jun 2009,50
jul 2009,83
aug 2009,58
sep 2009,46
oct 2009,44
nov 2009,69
dec 2009,72
jan 2010,60
feb 2010,39
mar 2010,51
apr 2010,64
may 2010,51
jun 2010,64
jul 2010,39
aug 2010,62
sep 2010,72
oct 2010,79
nov 2010,86
dec 2010,107
jan 2011,100
feb 2011,79
mar 2011,81
apr 2011,39
may 2011,45
jun 2011,71
jul 2011,81
aug 2011,36
sep 2011,38
oct 2011,41
nov 2011,26
dec 2011,20
jan 2012,21
feb 2012,20
mar 2012,16
apr 2012,22
may 2012,40
jun 2012,36
jul 2012,17
aug 2012,15
sep 2012,17
oct 2012,38
nov 2012,44
dec 2012,47
jan 2013,36
feb 2013,75
mar 2013,38
apr 2013,41
may 2013,47
jun 2013,31
jul 2013,52
aug 2013,25
sep 2013,16
oct 2013,31
nov 2013,41
dec 2013,36
jan 2014,37
feb 2014,41
mar 2014,18
apr 2014,9
may 2014,5
jun 2014,2
jul 2014,11
aug 2014,10
sep 2014,11
oct 2014,8
nov 2014,2
dec 2014,8
jan 2015,2
feb 2015,2
mar 2015,6
apr 2015,5
may 2015,1
jun 2015,2
jul 2015,5
aug 2015,2
sep 2015,4
oct 2015,7
nov 2015,23
dec 2015,7
jan 2016,12
