TIME,PROSTITUTION
jan 2003,53
feb 2003,73
mar 2003,14
apr 2003,54
may 2003,54
jun 2003,25
jul 2003,36
aug 2003,40
sep 2003,61
oct 2003,45
nov 2003,71
dec 2003,55
jan 2004,87
feb 2004,49
mar 2004,47
apr 2004,41
may 2004,48
jun 2004,32
jul 2004,40
aug 2004,35
sep 2004,73
oct 2004,30
nov 2004,39
dec 2004,30
jan 2005,25
feb 2005,31
mar 2005,34
apr 2005,19
may 2005,16
jun 2005,31
jul 2005,23
aug 2005,53
sep 2005,30
oct 2005,36
nov 2005,33
dec 2005,33
jan 2006,23
feb 2006,8
mar 2006,15
apr 2006,32
may 2006,17
jun 2006,12
jul 2006,22
aug 2006,83
sep 2006,42
oct 2006,49
nov 2006,54
dec 2006,23
jan 2007,9
feb 2007,37
mar 2007,29
apr 2007,35
may 2007,47
jun 2007,33
jul 2007,32
aug 2007,25
sep 2007,39
oct 2007,26
nov 2007,31
dec 2007,26
jan 2008,36
feb 2008,46
mar 2008,36
apr 2008,14
may 2008,19
jun 2008,40
jul 2008,47
aug 2008,18
sep 2008,26
oct 2008,39
nov 2008,20
dec 2008,11
jan 2009,14
feb 2009,10
mar 2009,7
apr 2009,4
may 2009,11
jun 2009,16
jul 2009,19
aug 2009,18
sep 2009,33
oct 2009,20
nov 2009,10
dec 2009,3
jan 2010,58
feb 2010,16
mar 2010,36
apr 2010,30
may 2010,24
jun 2010,17
jul 2010,6
aug 2010,31
sep 2010,43
oct 2010,25
nov 2010,32
dec 2010,54
jan 2011,34
feb 2011,22
mar 2011,19
apr 2011,86
may 2011,77
jun 2011,39
jul 2011,7
aug 2011,1
sep 2011,6
oct 2011,16
nov 2011,9
dec 2011,8
jan 2012,11
feb 2012,6
mar 2012,22
apr 2012,22
may 2012,23
jun 2012,24
jul 2012,19
aug 2012,12
sep 2012,17
oct 2012,8
nov 2012,16
dec 2012,14
jan 2013,16
feb 2013,7
mar 2013,9
apr 2013,15
may 2013,11
jun 2013,7
jul 2013,11
aug 2013,6
sep 2013,1
oct 2013,9
nov 2013,21
dec 2013,2
jan 2014,15
feb 2014,9
mar 2014,8
apr 2014,1
may 2014,1
jun 2014,0
jul 2014,3
aug 2014,0
sep 2014,0
oct 2014,1
nov 2014,0
dec 2014,2
jan 2015,1
feb 2015,2
mar 2015,2
apr 2015,21
may 2015,1
jun 2015,0
jul 2015,1
aug 2015,1
sep 2015,0
oct 2015,10
nov 2015,0
dec 2015,3
jan 2016,24
