TIME,PROSTITUTION
jan 2003,28
feb 2003,14
mar 2003,74
apr 2003,75
may 2003,77
jun 2003,22
jul 2003,43
aug 2003,40
sep 2003,53
oct 2003,33
nov 2003,38
dec 2003,30
jan 2004,29
feb 2004,21
mar 2004,44
apr 2004,33
may 2004,14
jun 2004,4
jul 2004,16
aug 2004,17
sep 2004,19
oct 2004,11
nov 2004,3
dec 2004,13
jan 2005,5
feb 2005,9
mar 2005,30
apr 2005,26
may 2005,9
jun 2005,27
jul 2005,14
aug 2005,5
sep 2005,11
oct 2005,10
nov 2005,0
dec 2005,5
jan 2006,6
feb 2006,0
mar 2006,7
apr 2006,10
may 2006,21
jun 2006,12
jul 2006,5
aug 2006,14
sep 2006,5
oct 2006,8
nov 2006,3
dec 2006,5
jan 2007,13
feb 2007,8
mar 2007,4
apr 2007,25
may 2007,7
jun 2007,13
jul 2007,25
aug 2007,35
sep 2007,53
oct 2007,46
nov 2007,51
dec 2007,30
jan 2008,28
feb 2008,28
mar 2008,27
apr 2008,15
may 2008,13
jun 2008,15
jul 2008,28
aug 2008,8
sep 2008,23
oct 2008,23
nov 2008,16
dec 2008,2
jan 2009,17
feb 2009,14
mar 2009,7
apr 2009,12
may 2009,10
jun 2009,2
jul 2009,8
aug 2009,16
sep 2009,26
oct 2009,22
nov 2009,5
dec 2009,2
jan 2010,2
feb 2010,0
mar 2010,3
apr 2010,17
may 2010,1
jun 2010,2
jul 2010,2
aug 2010,5
sep 2010,16
oct 2010,0
nov 2010,1
dec 2010,2
jan 2011,4
feb 2011,9
mar 2011,1
apr 2011,0
may 2011,0
jun 2011,0
jul 2011,0
aug 2011,2
sep 2011,0
oct 2011,16
nov 2011,18
dec 2011,13
jan 2012,24
feb 2012,18
mar 2012,10
apr 2012,9
may 2012,3
jun 2012,0
jul 2012,8
aug 2012,12
sep 2012,7
oct 2012,8
nov 2012,8
dec 2012,2
jan 2013,4
feb 2013,8
mar 2013,13
apr 2013,0
may 2013,9
jun 2013,0
jul 2013,0
aug 2013,0
sep 2013,0
oct 2013,0
nov 2013,0
dec 2013,1
jan 2014,0
feb 2014,0
mar 2014,3
apr 2014,1
may 2014,1
jun 2014,2
jul 2014,4
aug 2014,2
sep 2014,1
oct 2014,0
nov 2014,0
dec 2014,1
jan 2015,0
feb 2015,2
mar 2015,0
apr 2015,0
may 2015,1
jun 2015,0
jul 2015,0
aug 2015,1
sep 2015,14
oct 2015,5
nov 2015,0
dec 2015,0
jan 2016,4
